ID,cos_sim_list,cluster_galya_ids,cluster_tanya_ids,cluster_nastya_ids,c_num_galya,c_num_tanya,c_num_nastya,c_cut_median,c_cut_mean,c_cut_p25,c_cut_mean_local,c_sharp_1.05,c_sharp_1.005,c_sharp_1.00001,c_sharp_0.95,c_sharp_0.8,c_sharp_0.5,possible_splits,cluster_galya_ids_binary,cluster_tanya_ids_binary,cluster_nastya_ids_binary,correct_cut,correct_c_num
S05,"[0.38942677, 0.55030197, 0.64486176, 0.5717586, 0.39475888, 0.7448462, 0.48309484, 0.50225645, 0.48978633, 0.72331566, 0.732485, 0.70794094, 0.56822485, 0.5087995, 0.35031283, 0.43407336, 0.41260642, 0.597011, 0.7139241, 0.6296985, 0.16176848, 0.26581433, 0.29540667, 0.71839184]","[4, 6, 7, 8, 14, 15, 16, 20, 21, 22]","[4, 5, 6, 7, 8, 14, 15, 16, 20, 21, 22, 23]","[4, 6, 7, 8, 14, 15, 16, 20, 21, 22]",10,12,10,"[0, 4, 14, 15, 16, 20, 21, 22]","[0, 4, 14, 15, 16, 20, 21, 22]","[20, 21, 22]","[0, 4, 6, 7, 8, 13, 14, 15, 16, 20, 21, 22]","[4, 6, 12, 13, 14, 20]","[4, 6, 8, 12, 13, 14, 20]","[4, 6, 8, 12, 13, 14, 20]","[0, 4, 6, 7, 8, 12, 13, 14, 16, 20]","[0, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 19, 20]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",24,[0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 0.],[0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1.],[0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 0.],[ 4  6  7  8 14 15 16 20 21 22],10
S06,"[0.7448462, 0.49169788, 0.8418285, 0.42426452, 0.45469657, 0.6221977, 0.51843345, 0.5870739, 0.5341629, 0.7139241, 0.6296985, 0.74867225, 0.363218, 0.38206607, 0.59076446, 0.6097419, 0.6985594, 0.22910255, 0.29095984, 0.29720575, 0.4002759, 0.74574417, 0.50464183, 0.7385524, 0.3778322, 0.4991329, 0.74339586, 0.24255893, 0.31982496, 0.3638918, 0.5625829]","[3, 4, 6, 8, 12, 13, 14, 18, 19, 20, 23, 25, 28]","[3, 4, 6, 8, 12, 13, 15, 18, 19, 20, 23, 25, 28]","[1, 3, 4, 6, 7, 12, 13, 15, 18, 19, 20, 23, 25, 28]",13,13,14,"[3, 4, 12, 13, 17, 18, 19, 20, 24, 27, 28, 29]","[3, 4, 12, 13, 17, 18, 19, 20, 24, 27, 28, 29]","[17, 18, 19, 27, 28]","[1, 3, 4, 6, 12, 13, 17, 18, 19, 20, 22, 24, 25, 27, 28, 29]","[1, 3, 12, 17, 24, 27]","[1, 3, 12, 17, 24, 27]","[1, 3, 12, 17, 24, 27]","[0, 1, 3, 6, 8, 10, 12, 13, 17, 24, 27]","[0, 1, 3, 4, 6, 7, 8, 10, 11, 12, 13, 17, 19, 22, 24, 27]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",31,"[0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1.
 0. 1. 0. 0. 1. 0. 0.]","[0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 1.
 0. 1. 0. 0. 1. 0. 0.]","[0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 1.
 0. 1. 0. 0. 1. 0. 0.]",[ 3  4  6  8 12 13 15 18 19 20 23 25 28],13
S07,"[0.42129767, 0.7448462, 0.6096223, 0.6889942, 0.34364554, 0.5675444, 0.46157312, 0.9249728, 0.52318716, 0.7448462, 0.7448462, 0.4352078, 0.6293059]","[0, 2, 4, 8, 11]","[0, 4, 8, 11, 12]","[0, 2, 4, 8, 11]",5,5,5,"[0, 4, 6, 11]","[0, 4, 6, 11]",[4],"[0, 4, 5, 6, 8, 11]","[4, 8, 11]","[4, 8, 11]","[4, 8, 11]","[0, 2, 4, 6, 8, 11]","[0, 2, 3, 4, 6, 8, 10, 11]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",13,[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0.],[1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1.],[1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0.],[ 0  2  4  8 11],5
S08,"[0.5965456, 0.3464008, 0.3071505, 0.6296985, 0.6293059, 0.17795496, 0.26135686, 0.5494952, 0.6248791, 0.3667544, 0.47792646, 0.39013743, 0.60897505, 0.3323206, 0.34261194, 0.40165007, 0.4394594, 0.67120194]","[2, 5, 6, 11, 14, 16, 17]","[2, 5, 6, 11, 14, 17]","[0, 1, 2, 5, 6, 11, 14, 16, 17]",7,6,9,"[1, 2, 5, 6, 9, 11, 13, 14, 15, 16]","[1, 2, 5, 6, 9, 11, 13, 14, 15, 16]","[1, 2, 5, 6, 13, 14]","[1, 2, 5, 6, 9, 11, 13, 14, 15, 16]","[1, 2, 5, 9, 11, 13]","[1, 2, 5, 9, 11, 13]","[1, 2, 5, 9, 11, 13]","[0, 1, 2, 5, 9, 11, 13, 14]","[0, 1, 2, 5, 9, 11, 13, 14, 15, 16]","[0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",18,[0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1.],[0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1.],[1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1.],[ 2  5  6 11 14 16 17],7
S09,"[0.74432695, 0.2432182, 0.38746977, 0.5118797, 0.67393255, 0.39754686, 0.051077187, 0.29058677, 0.45365372]","[1, 2, 6, 7]","[1, 2, 3, 6, 7]","[1, 2, 4, 6, 7]",4,5,5,"[1, 2, 5, 6, 7, 8]","[1, 2, 5, 6, 7, 8]","[1, 6, 7]","[1, 2, 5, 6, 7]","[1, 5, 6]","[1, 5, 6]","[1, 5, 6]","[0, 1, 5, 6]","[0, 1, 5, 6]","[0, 1, 2, 3, 4, 5, 6]",9,[0. 1. 1. 0. 0. 0. 1. 1. 0.],[0. 1. 1. 1. 0. 0. 1. 1. 0.],[0. 1. 1. 0. 1. 0. 1. 1. 0.],[1 2 6 7],4
S11,"[0.74867225, 0.470395, 0.5182093, 0.38307664, 0.34346262]","[1, 4]","[0, 1, 4]","[1, 4]",2,3,2,"[3, 4]","[1, 3, 4]",[4],"[1, 3, 4]","[1, 3, 4]","[1, 3, 4]","[1, 3, 4]","[0, 1, 3, 4]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",5,[0. 1. 0. 0. 1.],[1. 1. 0. 0. 1.],[0. 1. 0. 0. 1.],[1 4],2
S12,"[0.6293059, 0.40366542, 0.18408848, 0.2389733, 0.5717586, 0.45993972, 0.74432695, 0.47259393, 0.7448462, 0.65597975, 0.634931, 0.31348467, 0.2790946, 0.2803926, 0.5699559, 0.5019174, 0.45563328, 0.56147027, 0.67231566, 0.35607162, 0.5235486, 0.6373847, 0.21876444, 0.23157167, 0.856151]","[1, 7, 12, 13, 14, 15, 16, 20, 22, 23]","[1, 5, 7, 9, 13, 16, 20, 22, 23]","[1, 5, 7, 9, 12, 13, 14, 15, 16, 20, 22, 23]",10,9,12,"[1, 2, 3, 5, 11, 12, 13, 16, 19, 22, 23]","[1, 2, 3, 5, 7, 11, 12, 13, 16, 19, 22, 23]","[2, 3, 11, 12, 13, 22, 23]","[1, 2, 3, 5, 7, 11, 12, 13, 16, 19, 22, 23]","[1, 2, 11, 12, 19, 22]","[1, 2, 11, 12, 19, 22]","[1, 2, 11, 12, 19, 22]","[0, 1, 2, 11, 12, 13, 16, 19, 22]","[0, 1, 2, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 22, 23]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23]",25,"[0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 1.
 0.]","[0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1.
 0.]","[0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 1.
 0.]",[ 1  5  7  9 12 13 14 15 16 20 22 23],12
S13,"[0.7448462, 0.32538426, 0.47910735, 0.6293059, 0.50473505, 0.36063194, 0.29690623, 0.43162057, 0.26457232, 0.35031283, 0.47800758, 0.62045306, 0.5404079, 0.2950243, 0.49995467, 0.4236441, 0.3281815, 0.405562, 0.8418285, 0.6214146, 0.32896242, 0.37277862, 0.6145538]","[1, 2, 4, 5, 6, 8, 9, 13, 16, 17, 20, 21]","[1, 2, 5, 6, 8, 10, 11, 12, 13, 16, 17, 20, 21, 22]","[1, 2, 4, 5, 6, 8, 10, 13, 16, 17, 20, 21]",12,14,12,"[1, 5, 6, 7, 8, 9, 13, 15, 16, 17, 20, 21]","[1, 5, 6, 7, 8, 9, 13, 15, 16, 17, 20, 21]","[1, 6, 8, 13, 16, 20]","[1, 5, 6, 7, 8, 9, 13, 15, 16, 17, 20, 21]","[1, 5, 6, 8, 13, 16, 20]","[1, 5, 6, 8, 13, 16, 20]","[1, 5, 6, 8, 13, 16, 20]","[0, 1, 5, 6, 8, 13, 16, 20]","[0, 1, 4, 5, 6, 8, 13, 15, 16, 17, 19, 20, 21]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22]",23,[0. 1. 1. 0. 1. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0.],[0. 1. 1. 0. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 0. 1. 1. 0. 0. 1. 1. 1.],[0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0.],[ 1  2  4  5  6  8 10 13 16 17 20 21],12
S14,"[0.14587934, 0.3912735, 0.62045306, 0.64067173, 0.34500977, 0.31446916, 0.6248791]","[0, 1]","[0, 1, 2, 3, 4, 5]","[0, 1, 4, 5]",2,6,4,"[0, 1, 4, 5]","[0, 1, 4, 5]","[0, 4, 5]","[0, 1, 4, 5]","[4, 5]","[4, 5]","[4, 5]","[0, 4, 5]","[0, 4, 5]","[0, 3, 4, 5, 6]",7,[1. 1. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 0.],[1. 1. 0. 0. 1. 1. 0.],[0 1 4 5],4
S15,"[0.44173512, 0.26734787, 0.46638277, 0.25041294, 0.19432765, 0.31619945, 0.45820695, 0.74432695, 0.4934671, 0.7448462, 0.53161085, 0.46304792, 0.40163684, 0.5645897, 0.47600597, 0.2639535, 0.29936028, 0.73780495, 0.39268908, 0.456698, 0.40867504, 0.2677994, 0.35740867]","[5, 6, 8, 10, 11, 15]","[5, 6, 8, 10, 11, 15, 18]","[0, 5, 6, 8, 10, 11, 18, 20]",6,7,8,"[0, 1, 3, 4, 5, 6, 11, 12, 15, 16, 18, 19, 20, 21, 22]","[0, 1, 2, 3, 4, 5, 6, 11, 12, 15, 16, 18, 19, 20, 21, 22]","[1, 3, 4, 5, 15, 16, 21]","[1, 3, 4, 5, 12, 15, 16, 18, 20, 21, 22]","[1, 3, 4, 11, 12, 15, 18, 21]","[1, 3, 4, 11, 12, 14, 15, 18, 20, 21]","[1, 3, 4, 11, 12, 14, 15, 18, 20, 21]","[0, 1, 3, 4, 11, 12, 14, 15, 18, 20, 21]","[0, 1, 3, 4, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22]",23,[0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0.],[ 5  6  8 10 11 15 18],7
